Year,CPI_All,CPI_Food,CPI_Housing,CPI_Transport,CPI_Education
1998,71.2,66.3,52.7,64.0,27.3
1999,72.1,66.4,53.8,65.3,28.8
2000,72.7,66.1,54.6,67.1,30.5
2001,73.6,68.6,55.8,67.1,32.4
2002,74.5,69.2,57.2,67.5,34.2
2003,75.5,70.0,58.3,69.6,36.8
2004,76.5,70.4,60.5,72.0,38.5
2005,78.1,71.5,64.3,74.9,40.4
2006,79.9,73.3,70.2,77.0,43.4
2007,81.8,76.6,73.7,79.3,49.3
2008,84.7,83.5,80.1,83.7,55.1
2009,86.6,88.1,83.5,84.4,59.3
2010,89.4,91.1,83.8,91.5,62.4
2011,93.4,96.0,88.4,98.6,65.7
2012,96.1,99.1,92.8,100.9,71.4
2013,98.5,102.9,96.6,101.9,83.6
2014,100.0,102.7,99.5,102.2,92.2
2015,100.0,100.0,100.0,100.0,100.0
2016,100.7,97.6,100.2,100.5,104.7
2017,103.4,99.8,102.0,105.1,108.7
2018,105.9,101.8,104.4,109.8,111.8
2019,107.8,103.2,106.2,112.0,115.2
2020,108.7,103.9,105.8,112.4,118.2
2021,111.6,104.2,108.3,120.4,121.5
2022,121.7,115.5,128.3,134.2,126.5
2023,130.5,132.3,140.7,134.5,131.0
2024,133.9,135.8,138.8,134.2,137.1
2025,138.4,141.5,146.4,137.7,147.4
