Year,House_Price
1995,55938.54247614768
1996,57986.23215224424
1997,63085.11505431249
1998,70313.05278516989
1999,77961.37713827226
2000,89596.59397331098
2001,96892.33599807884
2002,112519.66624568502
2003,130164.35504857845
2004,145608.72670978284
2005,156236.29575000002
2006,168512.96538333333
2007,185196.39176666667
2008,176852.68703333335
2009,161148.03261666666
2010,170364.50946666667
2011,154654.33333333334
2012,155269.33333333334
2013,159261.5
2014,172047.66666666666
2015,182291.16666666666
2016,195035.41666666666
2017,203950.33333333334
2018,210354.0
2019,212433.75
2020,218521.5
2021,236312.5
2022,258236.16666666666
2023,258956.16666666666
2024,260532.25
2025,268191.25
