Year,Wages,House_Price,CPI_All,CPI_Food,CPI_Housing,CPI_Transport,CPI_Education,Real_Wages,Real_House_Price,House_Price_to_Wage_Ratio,Real_House_Price_to_Real_Wage_Ratio,Monthly_Wages,Yearly_Wages,House_Price_to_Monthly_Wage_Ratio,House_Price_to_Yearly_Wage_Ratio,Housing_Inflation,Food_Inflation,Transport_Inflation,Education_Inflation,Overall_Inflation,Cost_Pressure_Indicator,Wage_Index,House_Price_Index,Real_Wage_Index,Real_House_Price_Index,CPI_All_Index,CPI_Food_Index,CPI_Housing_Index,CPI_Transport_Index,CPI_Education_Index
1998,334.9,70313.05,71.2,66.3,52.7,64.0,27.3,470.37,98754.29,209.95,209.95,1451.23,17414.8,48.45,4.04,,,,,,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1999,345.5,77961.38,72.1,66.4,53.8,65.3,28.8,479.2,108129.51,225.65,225.65,1497.17,17966.0,52.07,4.34,2.09,0.15,2.03,5.49,1.26,2.44,103.17,110.88,101.88,109.49,101.26,100.15,102.09,102.03,105.49
2000,359.0,89596.59,72.7,66.1,54.6,67.1,30.5,493.81,123241.53,249.57,249.57,1555.67,18668.0,57.59,4.8,1.49,-0.45,2.76,5.9,0.83,2.42,107.2,127.43,104.98,124.8,102.11,99.7,103.61,104.84,111.72
2001,375.9,96892.34,73.6,68.6,55.8,67.1,32.4,510.73,131647.2,257.76,257.76,1628.9,19546.8,59.48,4.96,2.2,3.78,0.0,6.23,1.24,3.05,112.24,137.8,108.58,133.31,103.37,103.47,105.88,104.84,118.68
2002,390.9,112519.67,74.5,69.2,57.2,67.5,34.2,524.7,151033.11,287.85,287.85,1693.9,20326.8,66.43,5.54,2.51,0.87,0.6,5.56,1.22,2.38,116.72,160.03,111.55,152.94,104.63,104.37,108.54,105.47,125.27
2003,404.0,130164.36,75.5,70.0,58.3,69.6,36.8,535.1,172403.12,322.19,322.19,1750.67,21008.0,74.35,6.2,1.92,1.16,3.11,7.6,1.34,3.45,120.63,185.12,113.76,174.58,106.04,105.58,110.63,108.75,134.8
2004,419.2,145608.73,76.5,70.4,60.5,72.0,38.5,547.97,190338.2,347.35,347.35,1816.53,21798.4,80.16,6.68,3.77,0.57,3.45,4.62,1.32,3.1,125.17,207.09,116.5,192.74,107.44,106.18,114.8,112.5,141.03
2005,431.2,156236.3,78.1,71.5,64.3,74.9,40.4,552.11,200046.47,362.33,362.33,1868.53,22422.4,83.61,6.97,6.28,1.56,4.03,4.94,2.09,4.2,128.75,222.2,117.38,202.57,109.69,107.84,122.01,117.03,147.99
2006,443.6,168512.97,79.9,73.3,70.2,77.0,43.4,555.19,210904.84,379.88,379.88,1922.27,23067.2,87.66,7.31,9.18,2.52,2.8,7.43,2.3,5.48,132.46,239.66,118.03,213.57,112.22,110.56,133.21,120.31,158.97
2007,457.6,185196.39,81.8,76.6,73.7,79.3,49.3,559.41,226401.46,404.71,404.71,1982.93,23795.2,93.4,7.78,4.99,4.5,2.99,13.59,2.38,6.52,136.64,263.39,118.93,229.26,114.89,115.54,139.85,123.91,180.59
